iso_code,year,employment_gap,pay_gap,inactive_care_pct,women_parliament_pct,childcare_spend_pct_gdp,maternity_weeks,parental_paid_weeks,father_leave_weeks,WBL INDEX,MOBILITY,WORKPLACE,PAY,MARRIAGE,PARENTHOOD,ENTREPRENEURSHIP,ASSETS,PENSION,female_board_share,female_senior_mgmt_share
AT,2010,10.2,24.0,1.3,38.9,0.4526844828185806,16.0,44.0,8.666666,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.14003922,0.13832176
AT,2011,10.0,23.5,1.2,33.3,0.44667663960838,16.0,44.0,8.666666,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.14001961,0.138509
AT,2012,9.7,22.9,1.2,33.3,0.4681521226776024,16.0,44.0,8.666666,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.14776577,0.14675777
AT,2013,9.1,22.3,1.3,33.3,0.4868255782812344,16.0,44.0,8.666666,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.14564863,0.14444347
AT,2014,8.2,22.2,1.1,31.3,0.5102775009951883,16.0,44.0,8.666666,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.14868565,0.14769393
AT,2015,8.2,21.8,1.2,31.3,0.5190966046989579,16.0,44.0,8.666666,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.14579716,0.14468387
AT,2016,7.8,20.8,1.2,25.0,0.539764383795674,16.0,44.0,8.666666,94.375,100.0,100.0,100.0,100.0,80.0,100.0,100.0,75.0,0.1455519,0.14433813
AT,2017,8.0,20.7,1.0,26.7,0.5318864469872163,16.0,44.0,8.666666,94.375,100.0,100.0,100.0,100.0,80.0,100.0,100.0,75.0,0.14667413,0.14562708
AT,2018,9.0,20.4,0.7,37.5,0.5292499051964799,16.0,44.0,8.666666,94.375,100.0,100.0,100.0,100.0,80.0,100.0,100.0,75.0,0.1479028,0.14699534
AT,2019,8.8,20.0,0.7,50.0,0.5470384739605421,16.0,44.0,8.666666,94.375,100.0,100.0,100.0,100.0,80.0,100.0,100.0,75.0,0.14749613,0.1467744
AT,2020,8.4,19.2,0.7,52.9,,16.0,44.0,12.996666,94.375,100.0,100.0,100.0,100.0,80.0,100.0,100.0,75.0,0.1541735,0.15395963
AT,2021,8.6,19.1,1.2,47.1,,16.0,44.0,12.996666,96.875,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,,
AT,2022,7.8,18.7,1.3,44.4,,16.0,44.0,12.996666,96.875,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,,
AT,2023,7.8,18.3,1.2,44.4,,16.0,44.0,12.996666,96.875,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,,
BE,2010,11.9,10.2,0.2,22.7,0.6772052577371224,15.0,13.0,15.0,93.75,100.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,0.2644419,0.23097335
BE,2011,11.5,9.4,,23.8,0.6818985932929776,15.0,13.0,15.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.2646021,0.2369339
BE,2012,11.0,8.3,0.2,31.6,0.737046485415002,15.0,17.333,19.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.27441907,0.25591344
BE,2013,10.2,7.5,0.5,31.6,0.7701537645777459,15.0,17.333,19.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.26418933,0.24893366
BE,2014,8.7,6.6,0.3,22.2,0.8182006995211241,15.0,17.333,19.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.2632851,0.25665
BE,2015,8.3,6.4,0.4,27.8,0.8019159036665212,15.0,17.333,19.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.26921612,0.23925139
BE,2016,9.3,6.0,0.3,22.2,0.8166586653602602,15.0,17.333,19.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.2740732,0.21624215
BE,2017,9.8,5.8,0.4,22.2,0.8034003458149591,15.0,17.333,19.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.2712507,0.20659457
BE,2018,8.4,5.8,0.4,22.2,0.8107006631211694,15.0,17.333,19.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.2709081,0.20800339
BE,2019,8.0,4.7,0.4,30.8,0.807936440649831,15.0,17.333,19.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.26423705,0.21000414
BE,2020,8.1,3.2,0.3,50.0,,15.0,17.333,19.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.2972404,0.2977058
BE,2021,7.7,1.8,0.4,50.0,,15.0,17.333,20.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
BE,2022,7.6,0.7,0.3,55.0,,15.0,17.333,20.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
BE,2023,7.6,0.7,0.4,55.0,,15.0,17.333,21.333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,
BG,2010,7.5,13.0,0.4,33.3,,,,,93.75,100.0,100.0,75.0,100.0,100.0,100.0,100.0,75.0,0.28197417,0.280914
BG,2011,5.8,13.2,,35.2,,,,,93.75,100.0,100.0,75.0,100.0,100.0,100.0,100.0,75.0,0.2857109,0.28453603
BG,2012,5.2,15.1,,38.0,,,,,90.625,100.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0,0.32064626,0.31891134
BG,2013,5.4,14.1,0.3,33.9,,,,,90.625,100.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0,0.32155353,0.3193011
BG,2014,5.8,14.2,0.3,30.9,,,,,90.625,100.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0,0.3193913,0.31713575
BG,2015,6.3,15.5,,27.0,,,,,90.625,100.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0,0.33414266,0.33215073
BG,2016,6.8,14.6,,36.1,,,,,90.625,100.0,100.0,75.0,100.0,100.0,100.0,100.0,50.0,0.33096564,0.32882378
BG,2017,7.6,14.3,,37.0,,,,,90.625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,0.3326431,0.33047542
BG,2018,7.7,13.9,,39.2,,,,,90.625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,0.3331235,0.33098108
BG,2019,8.1,14.0,,39.4,,,,,90.625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,0.35745743,0.35563412
BG,2020,8.3,12.5,,40.0,,,,,90.625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,0.074074075,0.1
BG,2021,8.4,11.9,0.5,36.2,,,,,90.625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,,
BG,2022,7.5,12.6,0.4,40.3,,,,,90.625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,,
BG,2023,7.3,13.5,0.4,36.8,,,,,90.625,100.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,,
HR,2010,11.5,5.7,0.7,15.8,,,,,84.375,100.0,100.0,25.0,100.0,100.0,100.0,100.0,50.0,0.22609323,0.22520709
HR,2011,12.5,,1.0,10.5,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.22920609,0.22918712
HR,2012,11.0,,1.3,13.6,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.27451894,0.2751675
HR,2013,8.8,7.7,1.5,19.0,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.255279,0.25615892
HR,2014,10.0,8.7,1.0,19.0,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.25853217,0.25904247
HR,2015,9.5,,1.0,14.3,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.24414718,0.24419042
HR,2016,9.7,11.6,1.3,19.0,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.24319139,0.2437043
HR,2017,10.5,12.3,1.1,28.6,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.24287763,0.2438144
HR,2018,10.5,11.4,1.1,23.8,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.24327256,0.24424826
HR,2019,10.5,10.2,0.8,19.0,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.28158087,0.2820664
HR,2020,11.2,8.7,0.7,27.8,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,0.086666666,0.123809524
HR,2021,10.4,7.3,0.6,27.8,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,,
HR,2022,9.4,7.7,0.7,27.8,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,,
HR,2023,7.7,7.4,0.7,22.2,,,,,93.75,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,,
CY,2010,12.9,16.8,1.0,16.7,,,,,88.75,75.0,100.0,75.0,100.0,60.0,100.0,100.0,100.0,0.27219912,0.18560606
CY,2011,11.9,16.1,1.0,25.0,,,,,88.75,75.0,100.0,75.0,100.0,60.0,100.0,100.0,100.0,0.3025818,0.10144927
CY,2012,11.3,15.6,1.1,33.3,,,,,88.75,75.0,100.0,75.0,100.0,60.0,100.0,100.0,100.0,0.28783077,0.15508658
CY,2013,10.4,14.9,1.2,8.3,,,,,88.75,75.0,100.0,75.0,100.0,60.0,100.0,100.0,100.0,0.28719866,0.12532051
CY,2014,7.7,14.2,1.3,8.3,,,,,88.75,75.0,100.0,75.0,100.0,60.0,100.0,100.0,100.0,0.2863541,0.18060134
CY,2015,8.3,13.2,1.4,8.3,,,,,88.75,75.0,100.0,75.0,100.0,60.0,100.0,100.0,100.0,0.29449478,0.27861953
CY,2016,9.7,12.3,1.4,8.3,,,,,88.75,75.0,100.0,75.0,100.0,60.0,100.0,100.0,100.0,0.28322586,0.32092592
CY,2017,9.5,11.2,0.8,8.3,,,,,88.75,75.0,100.0,75.0,100.0,60.0,100.0,100.0,100.0,0.28555906,0.30512822
CY,2018,10.4,10.4,0.9,16.7,,,,,88.75,75.0,100.0,75.0,100.0,60.0,100.0,100.0,100.0,0.28153166,0.255
CY,2019,10.6,10.5,0.5,16.7,,,,,91.25,75.0,100.0,75.0,100.0,80.0,100.0,100.0,100.0,0.29789174,0.22759171
CY,2020,11.6,9.9,0.6,25.0,,,,,91.25,75.0,100.0,75.0,100.0,80.0,100.0,100.0,100.0,,
CY,2021,11.5,11.0,1.1,25.0,,,,,91.25,75.0,100.0,75.0,100.0,80.0,100.0,100.0,100.0,,
CY,2022,10.9,11.9,0.8,16.7,,,,,94.375,100.0,100.0,75.0,100.0,80.0,100.0,100.0,100.0,,
CY,2023,9.0,12.0,0.5,25.0,,,,,94.375,100.0,100.0,75.0,100.0,80.0,100.0,100.0,100.0,,
CZ,2010,18.7,21.6,0.8,0.0,0.3885974888527433,28.0,82.0,0.0,88.125,100.0,100.0,75.0,100.0,80.0,100.0,100.0,50.0,0.21085286,0.20801093
CZ,2011,18.2,22.6,1.0,6.3,0.3939833708837094,28.0,82.0,0.0,88.125,100.0,100.0,75.0,100.0,80.0,100.0,100.0,50.0,0.21379003,0.21105956
CZ,2012,17.7,22.5,0.7,12.5,0.4301684908768806,28.0,82.0,0.0,88.125,100.0,100.0,75.0,100.0,80.0,100.0,100.0,50.0,0.22852987,0.22692527
CZ,2013,17.2,22.3,0.8,6.7,0.4531618914811854,28.0,82.0,0.0,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.22376229,0.2235935
CZ,2014,17.5,22.5,0.8,17.6,0.4560590902545792,28.0,82.0,0.0,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.22523738,0.2248801
CZ,2015,16.6,22.5,0.8,17.6,0.433795914319019,28.0,82.0,0.0,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.22181678,0.22153768
CZ,2016,16.0,21.5,0.9,17.6,0.408224778636568,28.0,82.0,0.0,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.22629276,0.22626553
CZ,2017,15.8,21.1,0.7,11.8,0.4392020160528139,28.0,82.0,0.0,91.25,100.0,100.0,100.0,100.0,80.0,100.0,100.0,50.0,0.22510935,0.22478986
