country	year	female_share_senmen_all	female_share_supboard_all	female_share_boards_all	female_share_weight_senmen_all	female_share_weight_supboard_all	female_share_weight_boards_all	zero_share_senmen_all	zero_share_supboard_all	zero_share_boards_all	female_share_senmen_prv	female_share_supboard_prv	female_share_boards_prv	female_share_weight_senmen_prv	female_share_weight_supboard_prv	female_share_weight_boards_prv	zero_share_senmen_prv	zero_share_supboard_prv	zero_share_boards_prv	female_share_senmen_stl	female_share_supboard_stl	female_share_boards_stl	female_share_weight_senmen_stl	female_share_weight_supboard_stl	female_share_weight_boards_stl	zero_share_senmen_stl	zero_share_supboard_stl	zero_share_boards_stl
"GERMANY"	1985	0.1845238	0.0	0.1845238	0.15454546	0.0	0.14655173	0.7976190476190477	1.0	0.7976190476190477	0.1845238	0.0	0.1845238	0.15454546	0.0	0.14655173	0.7976190476190477	1.0	0.7976190476190477									
"GERMANY"	1986	0.17256637	0.0	0.17256637	0.14102565	0.0	0.1392405	0.8141592920353983	1.0	0.8141592920353983	0.17256637	0.0	0.17256637	0.14102565	0.0	0.1392405	0.8141592920353983	1.0	0.8141592920353983									
"UK"	1986	0.0		0.0	0.0		0.0	1.0		1.0	0.0		0.0	0.0		0.0	1.0		1.0									
"GERMANY"	1987	0.20709571	1.0	0.20858085	0.21008404	1.0	0.21666667	0.7524752475247525	0.0	0.7524752475247525	0.20709571	1.0	0.20858085	0.21008404	1.0	0.21666667	0.7524752475247525	0.0	0.7524752475247525									
"UK"	1987	0.12857144		0.11688312	0.16666667		0.15789473	0.8		0.8181818181818182	0.12857144		0.11688312	0.16666667		0.15789473	0.8		0.8181818181818182									
"AUSTRIA"	1988	0.34375		0.34375	0.3809524		0.3809524	0.5625		0.5625	0.34375		0.34375	0.3809524		0.3809524	0.5625		0.5625									
"GERMANY"	1988	0.16804408	0.0	0.16804408	0.15923567	0.0	0.15337424	0.8016528925619835	1.0	0.8016528925619835	0.16804408	0.0	0.16804408	0.15923567	0.0	0.15337424	0.8016528925619835	1.0	0.8016528925619835									
"UK"	1988	0.05	0.0	0.04255319	0.046511628	0.0	0.039215688	0.95	1.0	0.9574468085106383	0.05	0.0	0.04255319	0.046511628	0.0	0.039215688	0.95	1.0	0.9574468085106383									
"AUSTRIA"	1989	0.2625		0.2625	0.25		0.25	0.7		0.7	0.2625		0.2625	0.25		0.25	0.7		0.7									
"GERMANY"	1989	0.21568628	0.0	0.21568628	0.2137931	0.0	0.20945945	0.7478991596638656	1.0	0.7478991596638656	0.21568628	0.0	0.21568628	0.2137931	0.0	0.20945945	0.7478991596638656	1.0	0.7478991596638656									
"IRELAND"	1989	0.25		0.16666667	0.09090909		0.08695652	0.6666666666666666		0.6666666666666666	0.25		0.16666667	0.09090909		0.08695652	0.6666666666666666		0.6666666666666666									
"TURKEY"	1989	0.33333334		0.2777778	0.33333334		0.2	0.6666666666666666		0.3333333333333333	0.33333334		0.2777778	0.33333334		0.2	0.6666666666666666		0.3333333333333333									
"UK"	1989	0.034965634	0.1	0.034142394	0.041984733	0.16666667	0.04255319	0.9432989690721649	0.8	0.941747572815534	0.034965634	0.1	0.034142394	0.041984733	0.16666667	0.04255319	0.9432989690721649	0.8	0.941747572815534									
"AUSTRIA"	1990	0.20588236		0.20588236	0.19642857		0.19642857	0.7843137254901961		0.7843137254901961	0.20588236		0.20588236	0.19642857		0.19642857	0.7843137254901961		0.7843137254901961									
"BELGIUM"	1990	0.0		0.0	0.0		0.0	1.0		1.0	0.0		0.0	0.0		0.0	1.0		1.0									
"GERMANY"	1990	0.1869213		0.1869213	0.17977528		0.17977528	0.7916666666666666		0.7916666666666666	0.1869213		0.1869213	0.17977528		0.17977528	0.7916666666666666		0.7916666666666666									
"IRELAND"	1990	0.21428572		0.14285715	0.08695652		0.083333336	0.7142857142857143		0.7142857142857143	0.21428572		0.14285715	0.08695652		0.083333336	0.7142857142857143		0.7142857142857143									
"TURKEY"	1990	0.4		0.114583336	0.33333334		0.15384616	0.6		0.6875	0.4		0.114583336	0.33333334		0.15384616	0.6		0.6875									
"UK"	1990	0.06048233	0.2	0.058243487	0.06990291	0.2	0.06537102	0.9025787965616046	0.8	0.9056603773584906	0.06048233	0.2	0.058243487	0.06990291	0.2	0.06537102	0.9025787965616046	0.8	0.9056603773584906									
"AUSTRIA"	1991	0.18461539		0.18461539	0.18055555		0.18055555	0.8		0.8	0.18461539		0.18461539	0.18055555		0.18055555	0.8		0.8									
"BELGIUM"	1991	0.14153132		0.18710035	0.14422058		0.1863824	0.8468677494199536		0.7625830959164293	0.14153132		0.18710035	0.14422058		0.1863824	0.8468677494199536		0.7625830959164293									
