freq,reason,sex,age,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,FAM_CARE,F,Y20-64,PC_POP,AT,1.5,1.5,1.6,1.5,1.3,1.2,1.2,1.3,1.1,1.2,1.2,1.0,0.7,0.7,0.7,1.2,1.3,1.2,1.0
A,FAM_CARE,F,Y20-64,PC_POP,BA,,,,,,,,,,,,,,,,0.6,0.7,0.6,0.3
A,FAM_CARE,F,Y20-64,PC_POP,BE,0.2,0.2,0.1,0.2,0.2,,0.2,0.5,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.4
A,FAM_CARE,F,Y20-64,PC_POP,BG,0.6,0.6,0.4,0.3,0.4,,,0.3,0.3,,,,,,,0.5,0.4,0.4,0.4
A,FAM_CARE,F,Y20-64,PC_POP,CH,3.4,3.2,2.7,2.3,2.7,2.4,2.2,2.2,2.1,2.1,2.1,2.0,1.7,1.6,1.6,1.8,2.0,1.9,1.7
A,FAM_CARE,F,Y20-64,PC_POP,CY,1.5,1.1,0.8,0.7,1.0,1.0,1.1,1.2,1.3,1.4,1.4,0.8,0.9,0.5,0.6,1.1,0.8,0.5,0.7
A,FAM_CARE,F,Y20-64,PC_POP,CZ,1.2,1.1,1.0,1.0,0.8,1.0,0.7,0.8,0.8,0.8,0.9,0.7,0.7,0.8,0.9,0.6,0.3,0.4,0.3
A,FAM_CARE,F,Y20-64,PC_POP,DE,0.8,1.0,1.0,0.9,1.0,1.2,1.3,1.2,1.1,1.1,1.1,1.1,1.1,1.0,,1.4,1.4,1.3,1.4
A,FAM_CARE,F,Y20-64,PC_POP,DK,0.2,0.3,0.4,0.2,0.3,0.3,0.2,0.3,0.3,0.2,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2
A,FAM_CARE,F,Y20-64,PC_POP,EA21,1.3,1.2,1.2,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.3,1.1,1.1,1.0,1.0
A,FAM_CARE,F,Y20-64,PC_POP,EE,1.9,2.2,1.8,1.6,1.6,1.5,1.8,1.4,1.4,1.7,1.9,1.8,1.8,1.5,1.9,0.8,0.8,0.9,0.7
A,FAM_CARE,F,Y20-64,PC_POP,EL,0.9,0.8,0.7,0.8,0.8,0.9,0.9,1.0,0.9,1.0,1.0,1.1,1.0,1.0,1.0,1.2,1.0,0.9,0.9
A,FAM_CARE,F,Y20-64,PC_POP,ES,1.4,1.4,1.2,1.2,1.4,1.1,1.1,1.2,1.0,1.0,1.0,1.1,1.1,0.8,0.9,1.2,1.2,1.0,1.1
A,FAM_CARE,F,Y20-64,PC_POP,EU27_2020,1.3,1.3,1.3,1.2,1.2,1.2,1.2,1.3,1.2,1.3,1.2,1.2,1.2,1.2,1.3,1.1,1.0,0.9,0.9
A,FAM_CARE,F,Y20-64,PC_POP,FI,,,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.1,0.2,0.3,0.2,0.2,0.2,,,
A,FAM_CARE,F,Y20-64,PC_POP,FR,0.7,0.4,0.4,0.5,0.4,0.4,0.3,0.8,0.8,1.2,1.0,1.1,1.0,1.0,0.9,0.7,0.7,0.7,0.7
A,FAM_CARE,F,Y20-64,PC_POP,HR,1.0,0.7,0.8,0.8,0.7,1.0,1.3,1.5,1.0,1.0,1.3,1.1,1.1,0.8,0.7,0.6,0.7,0.7,0.5
A,FAM_CARE,F,Y20-64,PC_POP,HU,1.3,1.3,1.4,1.4,1.4,1.6,1.4,1.5,1.5,1.7,1.6,1.4,1.4,1.4,1.6,0.6,0.5,0.4,0.3
A,FAM_CARE,F,Y20-64,PC_POP,IE,1.2,1.0,0.8,0.7,0.8,0.9,0.9,1.0,0.9,0.8,0.7,1.8,3.0,2.7,2.6,2.2,1.7,1.8,1.7
A,FAM_CARE,F,Y20-64,PC_POP,IS,,,,,,,,,,,,,,,,,,,
A,FAM_CARE,F,Y20-64,PC_POP,IT,3.3,3.3,3.3,2.7,2.7,2.4,2.7,2.5,2.5,2.4,2.3,2.3,2.3,2.1,2.0,1.8,1.5,1.4,1.1
A,FAM_CARE,F,Y20-64,PC_POP,LT,,0.6,1.2,0.7,0.7,0.6,,0.7,0.6,0.3,0.2,0.2,0.2,0.2,,0.3,0.3,0.3,0.3
A,FAM_CARE,F,Y20-64,PC_POP,LU,0.5,,0.5,2.4,1.8,1.7,1.4,1.2,1.4,2.0,1.7,2.0,1.7,1.2,1.1,0.8,0.5,,
