Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,Paid maternity leave,,,Paid parental and home care leave available to mothers,,,Total paid leave available to mothers,,
,,,,,,,,,,
,,Length (weeks),Average payment rate (%),Full-rate equivalent (weeks),Length (weeks),Average payment rate (%),Full-rate equivalent (weeks),Length (weeks),Average payment rate (%),Full-rate equivalent (weeks)
,,,,,,,,,,
,,,,,,,,,,
,,(1),(2),(3),(4),(5),(6),(7)=(1)+(4),(8),(9)
Australia,,2,45.88553638938667,0.9177107277877334,18,45.88553638938667,8.259396550089601,20,45.88553638938667,9.177107277877335
Austria,,16,100,16,44,69.36840214365705,30.5220969432091,60,77.53682823868185,46.522096943209114
Belgium,,15,77.02204000000016,11.553306000000024,17.333333333333332,20.475205864466396,3.549035683174175,32.33333333333333,46.708273246930524,15.1023416831742
Canada,,16,36.08888815451591,5.774222104722545,35,40.900739908451364,14.315258967957977,51,39.39113935819711,20.089481072680524
Chile,,18,100,18,12,100,12,30,100,30
Colombia,,18,100,18,0,0,0,18,100,18
Costa Rica,,17.3333,100,17.3333,0,0,0,17.3333,100,17.3333
Czechia,,28,62.55236336279341,17.514661741582152,37.80404772336783,62.55236336279339,23.64732529776487,65.80404772336783,62.5523633627934,41.16198703934702
Denmark,,22,49.69192341908521,10.932223152198745,19,49.69192341908521,9.44146544962619,41,49.69192341908521,20.373688601824934
Estonia,,14.285714285714286,100,14.285714285714286,67.85714285714286,100,67.85714285714286,82.14285714285715,100,82.14285714285715
Finland,,6.67,84.76383314392496,5.6537476706997944,154.33,22.05940369992802,34.04427773009891,161,24.657158634036467,39.69802540079871
France,,16,100,16,26,13.722153422677739,3.567759889896212,42,46.58990449975289,19.567759889896212
Germany,,14,100,14,44,55.04918236672746,24.22164024136008,58,65.8993797264829,38.221640241360085
Greece,,56,59.54334116432067,33.34427105201958,8.666666,41.92450914833792,3.6334571800258915,64.66666599999999,57.18205455658634,36.977728232045465
Hungary,,24,100,24,136,38.14858557789327,51.88207638593485,160,47.42629774120928,75.88207638593485
Iceland,,26,80,20.8,6,80.00000000000001,4.800000000000001,32,80,25.6
Ireland,,26,23.423064352044445,6.0899967315315555,9,23.423064352044445,2.108075791684,35,23.423064352044445,8.198072523215556
Israel,,15,100,15,0,0,0,15,100,15
Italy,,21.7,80,17.36,26,55.00000000000001,14.3,47.7,66.37316561844864,31.66
Japan,,14,67,9.38,44,61.11688311688312,26.891428571428577,58,62.536945812807886,36.27142857142857
